@RELATION relations

@ATTRIBUTE URLinText                                      NUMERIC
@ATTRIBUTE subInText                                      NUMERIC
@ATTRIBUTE objInText                                      NUMERIC
@ATTRIBUTE numberOfTheSentenceInSnippetWhereSubIsPresent  NUMERIC
@ATTRIBUTE numberOfTheSentenceInSnippetWhereObjIsPresent  NUMERIC
@ATTRIBUTE numberOfSentences                              NUMERIC
@ATTRIBUTE subjInRelation                                 NUMERIC
@ATTRIBUTE checkSnippetSentencesForAGivenWindow           NUMERIC
@ATTRIBUTE ShortestPath                                   NUMERIC
@ATTRIBUTE class                                         {True,False}

@DATA
0,1,1,0,0,3,0,0,4,False
1,1,1,0,4,5,0,1,3,False
1,1,1,0,4,5,0,1,6,False
0,1,1,1,1,2,0,1,5,False
1,1,1,0,0,1,0,1,3,False
0,1,1,0,0,2,0,1,3,False
0,1,1,0,2,3,0,1,-1,False
1,1,1,3,2,5,0,1,4,False
0,1,1,0,0,2,0,1,4,False
0,1,1,0,2,3,0,1,4,False
1,1,1,0,0,4,0,1,4,False
1,1,1,0,0,1,0,1,4,False
1,1,1,0,1,5,0,1,4,False
0,1,1,7,5,8,0,1,3,False
1,1,1,13,11,14,0,1,4,False
0,0,1,-1,1,2,0,1,-1,False
1,1,1,0,1,2,0,1,5,False
0,0,1,-1,1,2,0,1,-1,False
1,1,1,2,4,5,0,1,4,False
0,1,1,2,2,3,0,1,4,False
0,0,1,-1,1,4,0,1,-1,False
0,1,1,2,2,3,0,1,4,False
1,0,1,-1,1,2,0,1,-1,False
0,1,1,1,2,3,0,1,3,False
1,1,1,6,0,7,0,1,6,False
1,1,1,4,4,5,0,1,4,False
0,1,1,2,4,5,0,1,3,False
0,1,1,1,0,2,0,1,3,False
0,0,1,-1,1,2,0,1,-1,False
0,0,1,-1,3,4,0,1,-1,False
1,1,1,0,1,6,0,1,3,False
0,1,1,0,0,3,0,1,4,False
0,1,1,1,0,2,0,1,3,False
0,1,1,0,2,3,0,1,4,False
0,1,1,4,0,6,0,1,3,False
1,1,1,0,0,5,0,1,4,False
0,1,1,0,1,2,0,1,4,False
0,0,1,-1,1,3,0,1,-1,False
0,1,1,0,0,7,0,1,6,False
0,1,1,1,1,2,0,1,5,False
1,1,1,0,0,1,0,1,4,False
1,1,1,2,3,4,0,1,4,False
0,1,1,6,1,10,0,1,3,False
1,1,1,6,5,7,0,1,3,False
0,0,1,-1,0,1,0,1,-1,False
0,1,1,1,3,4,0,1,4,False
1,1,0,4,-1,5,0,1,-1,False
1,1,1,0,2,6,0,1,5,False
1,1,1,2,3,4,0,1,4,False
0,1,1,0,6,7,0,1,1,False
0,1,1,0,0,1,0,1,3,False
1,1,1,12,13,14,0,1,3,False
0,1,1,0,0,1,0,1,3,False
1,0,1,-1,2,3,0,1,-1,False
1,0,1,-1,1,4,0,1,-1,False
0,0,1,-1,9,13,0,0,-1,False
1,1,1,4,7,8,0,1,3,False
0,0,1,-1,5,7,0,1,-1,False
1,1,1,0,4,5,0,1,4,False
1,1,1,1,1,2,0,1,4,False
0,1,1,0,2,4,0,1,4,False
0,1,1,0,2,9,0,1,3,False
0,1,1,0,1,2,0,1,5,False
1,1,1,0,2,3,0,1,5,False
1,1,1,0,2,3,0,1,1,False
0,1,1,2,6,7,0,1,2,False
1,1,1,0,2,4,0,1,3,False
1,1,1,0,0,4,0,1,-1,False
0,1,1,4,6,8,0,1,-1,False
0,1,0,2,-1,3,0,1,-1,False
0,1,1,3,0,5,0,1,3,False
0,1,1,0,3,4,0,1,5,False
0,0,1,-1,0,1,0,1,-1,False
0,0,1,-1,0,2,0,0,-1,False
1,1,1,4,4,5,0,1,5,False
0,1,1,3,3,4,0,1,5,False
0,1,1,2,0,4,0,1,4,False
0,1,1,9,1,10,0,1,3,False
0,1,1,2,2,4,0,1,4,False
0,1,1,1,1,2,0,1,4,False
0,1,1,0,1,4,0,1,3,False
1,1,1,0,2,3,0,1,5,False
1,1,1,2,3,6,0,1,4,False
1,1,1,1,2,3,0,1,5,False
0,1,1,2,2,3,0,1,4,False
0,1,1,6,0,10,0,1,3,False
1,1,1,0,0,1,0,0,7,False
1,1,1,2,5,7,0,1,5,False
0,1,1,0,0,1,0,1,3,False
0,1,1,5,2,10,0,1,-1,False
0,1,1,0,0,1,0,1,8,False
1,1,1,2,3,6,0,1,2,False
1,1,1,3,2,4,0,1,3,False
1,1,1,4,4,5,0,1,3,False
0,1,1,0,0,4,0,1,3,False
1,0,1,-1,0,2,0,1,-1,False
0,1,1,1,1,2,0,1,-1,False
0,1,1,0,2,4,0,1,3,False
0,1,1,5,5,6,0,1,4,False
1,1,1,0,0,1,0,1,3,False
1,1,1,0,0,1,0,1,9,False
0,1,1,4,4,6,0,1,3,False
0,1,1,4,4,5,0,1,3,False
0,1,1,3,2,4,0,1,3,False
0,1,1,0,1,2,0,1,4,False
1,1,1,0,0,3,0,1,3,False
0,1,1,1,1,2,0,1,3,False
1,1,1,0,2,5,0,1,5,False
0,1,1,2,2,3,0,1,4,False
0,1,1,4,3,6,0,1,3,False
1,1,1,4,3,5,0,1,5,False
1,1,1,1,2,4,0,1,3,False
1,1,1,2,2,3,0,1,3,False
0,0,1,-1,4,7,0,0,-1,False
1,1,1,1,1,2,0,1,5,False
1,1,1,2,2,3,0,1,4,False
1,1,1,3,3,5,0,1,3,False
0,1,1,1,0,2,0,1,3,False
1,1,1,3,7,8,0,1,4,False
0,0,1,-1,3,6,0,1,-1,False
0,0,1,-1,0,5,0,1,-1,False
0,0,1,-1,0,5,0,1,-1,False
1,0,1,-1,0,1,0,0,-1,False
1,1,1,2,3,5,0,1,8,False
1,1,1,0,4,5,0,1,5,False
1,1,1,6,6,7,0,1,5,False
0,1,1,0,2,3,0,1,4,False
0,1,1,1,5,6,0,1,3,False
0,1,1,6,6,7,0,1,1,False
1,1,1,0,3,5,0,1,4,False
0,0,1,-1,1,5,0,1,-1,False
1,0,1,-1,2,3,0,1,-1,False
0,1,1,3,3,5,0,1,5,False
0,1,1,2,1,3,0,1,4,False
0,1,1,1,0,2,0,1,3,False
1,1,1,5,5,6,0,1,3,False
1,1,1,1,0,2,0,1,4,False
0,1,1,5,3,8,0,1,3,False
0,1,1,5,7,9,0,1,3,False
1,1,1,2,3,4,0,1,3,False
1,0,1,-1,1,3,0,1,-1,False
0,1,1,2,5,6,0,1,4,False
1,1,1,0,1,2,0,1,4,False
0,0,1,-1,0,1,0,1,-1,False
1,1,1,5,1,6,0,1,3,False
0,1,1,9,0,10,0,1,4,False
0,1,1,0,0,2,0,1,5,False
1,1,1,0,0,1,0,1,3,False
0,1,0,0,-1,2,0,1,-1,False
1,1,1,5,3,7,0,1,3,False
0,1,1,2,4,5,0,1,4,False
1,1,1,12,12,13,0,1,4,False
0,1,1,2,3,4,0,1,4,False
1,1,1,0,2,3,0,1,3,False
1,0,1,-1,1,4,0,1,-1,False
0,1,1,3,3,4,0,1,4,False
0,1,1,0,0,1,0,1,3,False
0,1,1,17,18,20,0,1,-1,False
1,1,1,17,17,18,0,1,3,False
0,1,1,0,1,2,0,1,3,False
0,1,1,0,0,2,0,1,6,False
1,1,1,2,2,3,0,1,5,False
1,1,1,0,0,9,0,1,3,False
0,1,1,0,0,3,0,1,5,False
0,1,1,3,2,4,0,1,3,False
0,1,1,0,0,2,0,1,5,False
0,0,1,-1,7,8,0,1,-1,False
1,1,1,0,0,3,0,1,3,False
1,1,1,4,1,6,0,1,3,False
0,1,1,6,3,7,0,1,3,False
0,1,1,2,3,4,0,1,5,False
0,1,1,5,8,9,0,1,5,False
0,1,1,1,3,6,0,1,3,False
0,1,1,0,1,3,0,1,-1,False
1,1,1,0,2,3,0,1,3,False
1,1,1,0,6,7,0,1,3,False
0,0,1,-1,0,1,0,1,-1,False
1,1,1,6,6,7,0,1,3,False
1,1,1,3,1,4,0,1,3,False
1,1,1,1,0,2,0,1,3,False
0,0,1,-1,0,1,0,1,-1,False
1,1,1,0,7,8,0,1,4,False
0,1,1,2,6,7,0,1,5,False
0,1,0,5,-1,6,0,1,-1,False
0,1,1,1,1,2,0,1,7,False
1,0,1,-1,0,2,0,1,-1,False
1,1,1,0,1,2,0,1,7,False
1,1,1,7,5,9,0,1,3,False
1,1,1,0,2,3,0,1,3,False
0,0,1,-1,0,3,0,0,-1,False
1,1,1,2,2,3,0,1,4,False
1,1,0,1,-1,2,0,1,-1,False
1,0,1,-1,0,3,0,1,-1,False
1,1,1,1,1,3,0,1,4,False
0,0,1,-1,1,2,0,1,-1,False
1,1,1,3,3,4,0,1,3,False
1,1,1,0,0,2,0,1,4,False
0,0,1,-1,0,8,0,1,-1,False
1,1,1,0,0,1,0,1,3,False
0,1,1,0,1,3,0,1,3,False
1,0,1,-1,0,1,0,1,-1,False
0,0,1,-1,1,4,0,1,-1,False
1,1,1,0,3,4,0,1,4,False
0,1,1,1,1,2,0,1,5,False
1,1,1,2,4,5,0,1,5,False
0,1,1,6,1,7,0,1,4,False
1,1,1,1,1,3,0,1,3,False
0,1,1,2,3,4,0,1,2,False
0,1,1,3,3,4,0,1,1,False
1,1,1,0,1,2,0,1,4,False
0,1,1,0,5,8,0,1,3,False
0,1,1,1,2,6,0,1,3,False
1,1,1,1,1,2,0,1,6,False
0,1,1,0,1,3,0,1,4,False
0,1,1,0,0,4,0,1,3,False
1,1,1,6,3,8,0,1,4,False
1,1,1,6,2,7,0,1,6,False
1,1,1,4,4,5,0,1,6,False
0,0,1,-1,8,9,0,1,-1,False
1,0,0,-1,-1,6,0,0,-1,False
0,1,1,0,2,3,0,1,3,False
0,1,1,3,0,4,0,1,3,False
0,1,1,0,2,3,0,1,3,False
1,1,1,0,1,2,0,1,6,False
1,1,1,0,1,2,0,1,3,False
1,1,1,0,0,1,0,1,4,False
1,1,1,0,3,4,0,1,5,False
1,1,1,0,3,4,0,1,3,False
1,1,1,6,7,8,0,1,3,False
1,1,1,0,0,2,0,1,5,False
0,1,1,0,1,3,0,1,4,False
1,1,1,1,0,2,0,1,5,False
0,1,1,7,8,10,0,1,3,False
0,1,1,11,12,13,0,1,4,False
1,1,1,0,0,4,0,1,3,False
1,1,1,0,4,5,0,1,4,False
0,1,1,0,0,1,0,1,7,False
0,1,1,2,2,5,0,1,4,False
0,1,1,3,5,6,0,1,4,False
0,1,1,0,3,5,0,1,4,False
0,1,1,1,5,6,0,1,5,False
1,1,1,0,1,4,0,1,4,False
1,1,1,3,4,6,0,1,5,False
0,0,1,-1,3,4,0,1,-1,False
1,1,1,0,2,3,0,1,4,False
1,1,1,0,2,3,0,1,4,False
0,1,1,1,2,3,0,1,4,False
0,1,1,4,10,11,0,1,5,False
1,1,1,2,2,3,0,1,5,False
0,1,1,0,1,2,0,1,4,False
1,1,1,6,5,7,0,1,3,False
1,1,1,0,2,3,0,1,4,False
1,1,1,4,1,5,0,1,3,False
1,1,1,3,4,5,0,1,4,False
0,0,1,-1,2,3,0,1,-1,False
0,1,1,0,1,3,0,1,4,False
0,1,1,2,3,4,0,1,3,False
0,1,1,0,5,6,0,1,4,False
0,1,1,3,3,4,0,1,5,False
1,1,1,4,5,6,0,1,4,False
0,1,1,0,1,3,0,1,3,False
0,1,1,2,1,3,0,1,4,False
1,1,1,1,0,2,0,0,4,False
0,0,1,-1,0,2,0,1,-1,False
1,1,1,2,2,3,0,1,3,False
0,0,1,-1,1,5,0,1,-1,False
0,1,1,0,3,5,0,1,4,False
0,1,1,0,0,1,0,1,4,False
0,1,1,1,1,2,0,1,3,False
1,1,1,0,3,5,0,1,5,False
1,1,1,2,1,3,0,1,4,False
1,1,1,1,0,2,0,1,5,False
1,1,1,4,4,5,0,1,6,False
0,1,1,6,5,7,0,1,3,False
1,1,1,0,0,1,0,1,4,False
1,1,1,13,13,14,0,1,5,False
1,1,1,2,1,3,0,1,4,False
0,1,1,0,0,2,0,1,3,False
0,1,1,0,0,6,0,1,3,False
1,0,1,-1,2,3,0,1,-1,False
1,1,1,1,0,2,0,1,5,False
0,1,1,0,0,6,0,1,3,False
1,0,1,-1,0,2,0,1,-1,False
1,1,1,7,3,8,0,1,3,False
0,1,1,0,1,5,0,1,4,False
0,1,1,6,5,8,0,1,3,False
0,1,1,10,11,12,0,1,3,False
0,1,1,0,2,4,0,1,3,False
1,1,1,0,4,5,0,1,4,False
0,1,1,0,1,3,0,1,4,False
0,1,1,0,3,4,0,1,4,False
0,0,1,-1,5,9,0,1,-1,False
1,1,1,3,1,4,0,1,5,False
0,1,1,1,5,6,0,1,4,False
1,1,1,2,4,5,0,1,5,False
1,0,1,-1,4,5,0,1,-1,False
1,1,1,0,0,1,0,1,3,False
0,1,1,6,4,8,0,1,3,False
1,1,1,0,2,3,0,1,10,False
0,0,1,-1,0,2,0,1,-1,False
0,1,1,0,0,9,0,1,3,False
1,1,1,2,1,3,0,1,3,False
1,0,0,-1,-1,3,0,0,-1,False
0,0,1,-1,0,6,0,1,-1,False
0,1,1,0,2,5,0,1,3,False
1,1,1,5,9,11,0,1,3,False
0,1,1,2,3,4,0,1,3,False
0,1,1,3,2,4,0,1,3,False
1,1,1,0,1,3,0,1,5,False
1,1,1,3,2,5,0,1,3,False
1,0,1,-1,0,1,0,1,-1,False
0,1,1,1,2,12,0,1,3,False
1,1,1,8,9,10,0,1,4,False
0,1,1,3,4,9,0,1,5,False
0,0,1,-1,2,3,0,1,-1,False
1,1,1,2,3,4,0,1,3,False
1,1,1,0,0,2,0,1,3,False
1,1,1,0,6,8,0,1,3,False
1,1,1,0,3,4,0,1,5,False
0,1,1,1,2,4,0,1,3,False
1,1,1,0,2,3,0,1,4,False
0,1,1,0,2,3,0,1,3,False
1,1,1,0,1,2,0,1,-1,False
0,1,1,1,1,2,0,1,5,False
1,1,1,4,4,5,0,1,4,False
0,1,1,1,2,3,0,1,4,False
1,1,1,3,6,9,0,1,3,False
0,0,1,-1,1,2,0,1,-1,False
1,0,1,-1,3,7,0,1,-1,False
1,1,1,0,0,2,0,1,5,False
1,1,1,6,6,7,0,1,2,False
0,1,1,2,2,3,0,1,4,False
0,1,1,0,2,4,0,1,5,False
0,1,1,3,5,6,0,1,3,False
0,1,1,2,2,4,0,1,4,False
0,1,1,1,1,2,0,1,5,False
1,1,1,0,2,3,0,1,3,False
1,1,1,0,0,1,0,1,5,False
1,1,1,0,0,2,0,1,3,False
0,1,1,4,5,7,0,1,5,False
1,1,1,0,4,8,0,1,5,False
1,1,1,0,4,5,0,1,4,False
1,1,1,2,1,4,0,1,3,False
0,1,1,1,7,8,0,1,4,False
0,0,1,-1,1,2,0,1,-1,False
0,1,1,0,4,6,0,1,3,False
0,1,1,4,5,7,0,1,3,False
1,1,1,18,18,19,0,1,2,False
1,1,1,4,3,5,0,1,4,False
0,0,1,-1,1,10,0,1,-1,False
1,1,1,0,4,6,0,1,3,False
0,1,1,1,1,3,0,1,4,False
1,1,1,3,3,4,0,1,4,False
0,1,1,4,3,6,0,1,3,False
0,1,1,0,1,2,0,1,3,False
0,1,1,0,0,1,0,1,3,False
0,1,1,0,0,2,0,1,4,False
0,1,0,4,-1,7,0,1,-1,False
0,1,1,1,1,2,0,1,3,False
1,0,1,-1,1,2,0,1,-1,False
0,0,1,-1,0,3,0,1,-1,False
1,0,1,-1,1,2,0,1,-1,False
0,1,1,5,5,6,0,1,4,False
1,1,1,0,0,2,0,1,10,False
1,1,1,3,1,4,0,1,5,False
0,1,1,1,3,5,0,1,3,False
1,1,1,2,3,4,0,1,5,False
0,1,1,1,1,2,0,1,1,False
1,1,1,0,1,2,0,1,4,False
1,1,1,0,1,2,0,1,6,False
0,1,1,0,3,4,0,1,4,False
1,0,1,-1,2,3,0,1,-1,False
0,1,1,2,3,6,0,1,4,False
1,0,1,-1,4,5,0,1,-1,False
1,1,1,1,4,5,0,1,3,False
1,1,1,0,2,4,0,1,4,False
1,1,1,0,2,3,0,1,4,False
1,1,1,0,1,3,0,1,3,False
0,1,1,1,4,5,0,1,5,False
1,1,1,0,2,5,0,1,4,False
1,1,1,0,0,1,0,1,5,False
0,1,1,0,3,6,0,1,2,False
0,1,1,0,2,11,0,1,3,False
0,1,1,2,3,4,0,1,4,False
0,1,1,0,2,3,0,1,3,False
0,1,1,2,0,3,0,1,5,False
1,0,1,-1,1,2,0,1,-1,False
1,0,1,-1,1,2,0,1,-1,False
1,1,1,3,0,4,0,1,7,False
0,1,1,1,1,4,0,0,3,False
1,1,1,0,2,3,0,1,5,False
1,0,1,-1,1,2,0,1,-1,False
1,1,1,4,1,5,0,1,3,False
0,1,1,5,4,6,0,1,2,False
1,1,1,0,1,3,0,1,4,False
1,1,1,3,2,4,0,1,5,False
1,1,1,4,3,6,0,1,3,False
0,1,1,3,8,9,0,1,5,False
0,1,1,0,1,3,0,1,4,False
1,1,1,0,2,3,0,1,5,False
0,1,1,0,2,3,0,1,5,False
1,1,1,2,0,3,0,1,4,False
0,1,1,2,4,8,0,1,3,False
0,1,1,0,2,3,0,1,3,False
1,1,1,0,1,3,0,1,4,False
0,0,1,-1,3,4,0,1,-1,False
0,1,1,0,1,3,0,1,4,False
1,1,1,0,0,1,0,1,5,False
0,1,1,2,2,3,0,1,4,False
1,1,1,0,2,3,0,1,5,False
0,1,1,6,7,9,0,1,3,False
0,0,1,-1,2,3,0,1,-1,False
1,1,1,0,2,3,0,1,4,False
1,1,1,0,1,6,0,1,6,False
0,1,1,4,4,6,0,1,3,False
0,1,1,0,0,2,0,1,4,False
0,0,1,-1,1,4,0,1,-1,False
1,1,1,5,3,6,0,1,-1,False
1,1,1,0,3,4,0,1,2,False
1,1,1,3,0,5,0,1,6,False
1,1,1,0,2,4,0,1,3,False
0,1,1,0,1,2,0,1,4,False
0,1,1,6,8,9,0,1,3,False
0,1,1,5,0,7,0,1,-1,False
0,0,1,-1,0,2,0,1,-1,False
0,1,1,1,1,4,0,1,3,False
1,1,1,11,11,13,0,1,2,False
0,1,1,0,4,5,0,1,7,False
0,1,1,4,4,5,0,1,3,False
0,1,1,1,4,5,0,1,3,False
1,0,1,-1,1,3,0,1,-1,False
0,1,1,1,1,2,0,1,7,False
1,1,1,0,3,4,0,1,4,False
0,1,1,7,5,9,0,1,4,False
1,1,1,2,1,3,0,1,4,False
1,1,1,10,11,12,0,1,3,False
1,0,1,-1,2,3,0,1,-1,False
1,1,1,0,4,8,0,1,5,False
0,0,1,-1,5,6,0,1,-1,False
0,1,1,1,6,7,0,1,5,False
1,1,1,4,4,5,0,1,3,False
1,1,1,0,4,6,0,1,3,False
0,0,1,-1,1,2,0,1,-1,False
0,1,1,0,5,6,0,1,3,False
1,1,1,0,6,7,0,1,3,False
0,1,1,1,2,4,0,1,3,False
0,1,1,2,0,4,0,1,3,False
1,1,1,0,3,4,0,1,4,False
0,1,1,2,1,3,0,1,3,False
1,1,1,2,3,4,0,1,4,False
0,0,1,-1,1,2,0,1,-1,False
0,1,1,0,1,2,0,1,3,False
0,1,1,4,4,5,0,1,3,False
0,1,1,5,3,6,0,1,3,False
0,1,1,5,4,6,0,1,3,False
0,0,1,-1,0,1,0,1,-1,False
0,1,1,2,5,6,0,1,5,False
0,1,1,0,0,1,0,1,3,False
0,1,1,0,1,2,0,1,3,False
0,1,1,5,1,6,0,1,4,False
0,1,0,0,-1,2,0,1,-1,False
1,0,1,-1,1,2,0,1,-1,False
1,0,1,-1,0,2,0,0,-1,False
0,0,1,-1,3,4,0,1,-1,False
0,0,1,-1,1,2,0,1,-1,False
0,1,1,3,3,4,0,1,3,False
1,1,1,0,1,3,0,1,5,False
0,1,1,9,12,13,0,1,3,False
1,0,1,-1,0,4,0,1,-1,False
0,1,1,0,1,2,0,1,4,False
0,0,1,-1,1,5,0,1,-1,False
0,0,1,-1,1,3,0,1,-1,False
1,1,1,0,1,5,0,1,3,False
0,1,1,1,1,4,0,0,4,False
0,1,1,1,1,2,0,1,6,False
1,1,1,0,2,3,0,1,4,False
0,1,1,2,3,4,0,1,3,False
0,1,1,0,1,3,0,1,5,False
0,1,1,1,1,2,0,1,5,False
1,1,1,3,2,4,0,1,3,False
1,0,1,-1,2,3,0,1,-1,False
0,1,1,1,2,3,0,1,5,False
1,1,1,0,1,4,0,1,3,False
1,1,1,1,1,2,0,1,5,False
0,0,1,-1,3,5,0,1,-1,False
1,1,1,0,5,6,0,1,5,False
1,1,1,0,1,6,0,1,3,False
1,1,1,0,3,4,0,1,3,False
1,1,1,0,3,5,0,1,-1,False
0,1,1,0,1,6,0,1,3,False
0,1,1,1,7,8,0,1,4,False
0,1,1,1,4,5,0,1,4,False
0,1,1,0,3,4,0,1,6,False
1,1,1,5,5,6,0,1,4,False
1,0,1,-1,0,1,0,1,-1,False
0,1,1,1,1,4,0,1,4,False
1,1,1,7,8,10,0,1,4,False
1,1,1,0,0,2,0,1,4,False
1,0,0,-1,-1,5,0,0,-1,False
0,1,1,1,2,6,0,1,3,False
1,1,1,0,3,4,0,1,6,False
1,0,1,-1,1,2,0,1,-1,False
1,1,1,0,1,2,0,1,4,False
0,1,1,4,4,5,0,1,3,False
0,1,1,0,0,2,0,1,5,False
1,1,1,0,0,4,0,1,4,False
1,1,1,2,2,3,0,1,3,False
1,1,1,0,1,2,0,1,3,False
0,1,1,5,5,7,0,1,3,False
0,1,1,3,2,6,0,1,4,False
0,0,1,-1,0,1,0,1,-1,False
0,1,1,1,3,5,0,1,3,False
0,0,1,-1,1,3,0,1,-1,False
0,1,1,3,1,5,0,1,4,False
1,0,1,-1,1,2,0,1,-1,False
0,1,1,7,7,8,0,1,4,False
0,0,1,-1,0,8,0,1,-1,False
0,1,1,1,2,10,0,1,6,False
0,0,1,-1,1,3,0,1,-1,False
0,1,1,7,8,9,0,1,3,False
0,1,1,0,4,5,0,1,2,False
0,1,1,0,0,3,0,1,4,False
0,1,1,1,3,4,0,1,7,False
0,1,1,7,11,13,0,1,4,False
1,1,1,0,0,2,0,0,4,False
0,1,1,1,9,10,0,1,3,False
0,1,1,2,1,3,0,1,3,False
0,1,1,3,3,5,0,1,4,False
